snapped_at,market_cap,total_volume
1574899200000,203551833589.6896,55038957449.79613
1574985600000,201881028615.3302,43433332205.12591
1575072000000,209303612789.17642,45174371930.259895
1575158400000,204633116543.52283,38497239748.65375
1575244800000,201691573976.36887,43252787426.33096
1575331200000,198910920199.2055,38238280813.872375
1575417600000,198120550442.60104,35191989763.603806
1575504000000,195396418895.2716,47458338812.85207
1575590400000,199881050952.7331,43313728607.995384
1575676800000,203624702911.5475,39710827096.54882
1575763200000,202584201219.80844,34733973486.06675
1575849600000,203706727057.46356,34808306939.72565
1575936000000,199651443722.59024,39728425467.95491
1576022400000,196392216977.60864,38647264532.44277
1576108800000,195405870259.4091,36606823291.18306
1576195200000,195620049611.19662,40037287632.72999
1576281600000,196919073425.61768,37884325107.1942
1576368000000,192488047986.7692,38927192762.82275
1576454400000,193522733085.4528,37888761170.7104
1576540800000,186399905292.95056,46655106504.95457
1576627200000,176931507833.68524,52510910227.579765
1576713600000,192845169099.09335,90764085322.71307
1576800000000,189131545978.87704,54404060490.135124
1576886400000,190688157648.73697,43070374562.503815
1576972800000,189126452551.70197,36030732144.214935
1577059200000,197712960145.10858,45284094630.88541
1577145600000,192901980192.06674,53424344432.170235
1577232000000,191416148532.95813,47370033215.4403
1577318400000,189688306542.63174,43941344508.5231
1577404800000,190050806501.68933,45393706622.78526
1577491200000,191374203537.5921,47717976778.25806
1577577600000,193413754741.82184,42827965351.16603
1577664000000,196286248380.00684,45160664527.25184
1577750400000,192319139831.79254,44693276103.23065
1577836800000,190990887407.45474,41538669883.91998
1577923200000,191409755267.08957,36479183768.96668
1578009600000,185335365582.9199,39557991629.30863
1578096000000,194568896301.0627,56349255017.12229
1578182400000,195917861240.71472,41019222119.24572
1578268800000,196078071623.77072,44234390665.90499
1578355200000,207534310745.5181,55028164917.77138
1578441600000,214810539577.0755,64277101924.27317
1578528000000,211219383782.0107,68314219635.9006
1578614400000,206699881875.86545,52995590003.91197
1578700800000,216991085819.6684,66447153894.5418
1578787200000,213097333776.08942,60924141016.772255
1578873600000,217763607531.84995,53056211483.48424
1578960000000,216046954630.51996,52232503073.178604
1579046400000,242319845686.95267,117803996196.64601
1579132800000,241308099087.33832,104043323274.15733
1579219200000,238570569013.78827,81030870366.97891
1579305600000,244869599425.18912,94336252597.77292
1579392000000,243889264120.8948,85946287503.44211
1579478400000,237968939487.80698,86510848330.84964
1579564800000,237713689296.28345,64564574012.330376
1579651200000,240606636723.4902,58158816119.76192
1579737600000,233864013954.90176,54586115529.22543
1579824000000,230732553979.51648,62847599008.05187
1579910400000,231440678070.7321,65003733313.90289
1579996800000,228847904827.91812,52832867786.14567
1580083200000,236446011792.3031,61574212886.38866
1580169600000,243904578211.7725,80467463899.23444
1580256000000,255099275383.9082,93567533635.98224
1580342400000,253711155038.85663,91605528790.8026
1580428800000,261451630664.90274,102033583964.59766
1580515200000,255689197707.50784,96398341851.02318
1580601600000,257984796094.42038,92136260493.458
1580688000000,258795684118.20355,104524629106.03175
1580774400000,258951618099.46265,104654768393.75774
1580860800000,257521679636.81137,100114835859.4449
1580947200000,270245056284.24002,121269078565.3744
1581033600000,275584782156.15576,130428088405.49275
1581120000000,278698365802.99335,130373751109.47607
1581206400000,281409891108.4862,134126196273.34372
1581292800000,288503433435.9648,140494050153.2444
1581379200000,283661695782.96423,149635963162.19608
1581465600000,294565794000.5717,89089043923.64824
1581552000000,302542586703.54706,108120448304.81618
1581638400000,301294919734.45374,127298648182.44797
1581724800000,307914461854.08264,115283010601.69185
1581811200000,290896061290.9334,120392489673.65546
1581897600000,289085835684.37915,105299569468.8294
1581984000000,284359667937.8345,115969335214.16026
1582070400000,296679304040.2361,121672950293.85934
1582156800000,279434343801.82166,110022464120.49841
1582243200000,278090354944.28986,119379195758.65582
1582329600000,281211604034.37714,84865789133.9752
1582416000000,279496074201.52484,72897209550.68639
1582502400000,289863131194.3548,83916599980.68687
1582588800000,279592169370.46875,92107199029.33084
1582675200000,267894136852.57004,88371236028.49077
1582761600000,249226104331.05963,107096932474.92473
1582848000000,250477017063.903,97125465556.89299
1582934400000,248752553175.84985,90449992358.79478
1583020800000,243790747320.6194,72217377984.70746
1583107200000,244121116916.5203,74219736719.89743
1583193600000,255369565730.12637,123357208672.57826
1583280000000,251105638179.86026,140876654770.0704
1583366400000,250809031643.94113,84388361576.85896
1583452800000,258428361287.81473,77901936170.80159
1583539200000,263011496303.25464,81644211729.20444
1583625600000,255625923344.61447,75734664972.74152
1583712000000,227115853282.16864,84215643411.4388
1583798400000,224833921168.55743,100607560190.05682
1583884800000,224983315826.5559,79615129638.40546
1583971200000,223739264398.39142,75116682088.03311
1584057600000,135135467857.5175,104528111191.14891
1584144000000,158000618576.4275,147337723366.16226
1584230400000,147900936847.7712,79488071117.28337
1584316800000,153129732374.85095,87334343425.13496
1584403200000,143398286208.9577,106380116084.62288
1584489600000,151287079585.47034,74642673710.164
1584576000000,151304989890.95276,71090394964.12756
1584662400000,173695009768.84055,94469328635.23463
1584748800000,173192911961.50656,115721987192.41624
1584835200000,172786381815.62698,87367140110.66396
1584921600000,163092112350.92087,71060968374.94984
1585008000000,179406932499.30502,83743312629.11789
1585094400000,186060273985.93454,83725085331.38753
1585180800000,184148411919.27774,75871488340.30829
1585267200000,186810210933.8782,64062402894.55792
1585353600000,176785946731.6623,62212952670.253365
1585440000000,175028393213.07812,66080801205.64333
1585526400000,166139204246.82278,52625997967.90619
1585612800000,178235939534.85168,67365655180.66742
1585699200000,179303250133.0392,61015846528.39269
1585785600000,184187635273.0593,65973976566.23915
1585872000000,189201349814.4587,80941453014.7636
1585958400000,189625265324.97885,72053359425.18236
1586044800000,193013105924.4864,63668065319.722984
1586131200000,191028123717.9233,59244364212.59526
1586217600000,209934596748.69037,96731690949.7082
1586304000000,203577224074.9332,83828344907.18707
1586390400000,210948542417.70926,80777606540.70901
1586476800000,209203787502.77484,70308091336.86777
1586563200000,196023897096.68884,81069659738.98994
1586649600000,196780824068.5482,61808175626.1043
1586736000000,192546821104.46606,72167682442.27551
1586822400000,195813825098.46826,75119762810.46898
1586908800000,197792505526.8389,65461472111.52103
1586995200000,188044525395.74728,63929608935.55385
1587081600000,203548470084.9847,90432003740.2763
1587168000000,202685157249.1411,65052763387.62817
1587254400000,209638322945.6254,71152719166.9438
